load,episode,mean_reward,std_reward,n_seeds
load_0.30,1,-12.935701666324249,2.6256542022910603,5
load_0.30,2,-7.807791462210602,3.6997510678172043,5
load_0.30,3,-12.566351336605278,1.4664100230470105,5
load_0.30,4,-12.299343554210825,3.0897817813157302,5
load_0.30,5,-12.224595852485653,1.7823257504698626,5
load_0.30,6,-9.471424912534435,3.531298288984557,5
load_0.30,7,-6.779013782377156,3.915665702041133,5
load_0.30,8,-7.068199512417452,4.374212893946009,5
load_0.30,9,-9.785414471224732,3.401159914064807,5
load_0.30,10,-10.381894373868523,3.75642172622554,5
load_0.30,11,-6.354597896532765,5.255779643997206,5
load_0.30,12,-6.370023419203748,5.286630689339171,5
load_0.30,13,-7.495058154668099,4.6153853245504335,5
load_0.30,14,-9.141784847517762,5.144380461691359,5
load_0.30,15,-8.81146501664388,3.0315046991251418,5
load_0.30,16,-9.24517701706319,4.516216330996025,5
load_0.30,17,-9.914195153583615,3.444712084460017,5
load_0.30,18,-9.319117761877212,4.567751052854223,5
load_0.30,19,-8.228341232964556,5.640823871018485,5
load_0.30,20,-11.004081478738147,5.155655872194251,5
load_0.30,21,-9.153934188165824,5.123959775084462,5
load_0.30,22,-8.99791324120235,6.4559275654655774,5
load_0.30,23,-10.559164683917237,4.382962024426706,5
load_0.30,24,-8.288425448239723,5.693698638315584,5
load_0.30,25,-8.192442147179545,5.621285382332689,5
load_0.30,26,-7.328065986857382,4.416792077472321,5
load_0.30,27,-8.631893711538597,4.213030884365179,5
load_0.30,28,-11.129743554500852,5.089014583420979,5
load_0.30,29,-8.192442147179545,5.621285382332689,5
load_0.30,30,-7.60661964850175,3.546435270713952,5
load_0.30,31,-7.482954354216919,4.603814612412054,5
load_0.30,32,-10.412917723311704,4.449761591348342,5
load_0.30,33,-7.747098092138456,3.603117671327851,5
load_0.30,34,-9.619954134812932,4.211632380965026,5
load_0.30,35,-9.376353808300198,4.616311529446354,5
load_0.30,36,-7.5342789626729125,4.664270509373965,5
load_0.30,37,-9.52358048628346,5.220323712515144,5
load_0.30,38,-7.49669903390141,4.617414196045639,5
load_0.30,39,-8.288425448239725,5.693698638315584,5
load_0.30,40,-7.527722383344596,5.21432687304035,5
load_0.30,41,-7.343545613564418,5.132017023957677,5
load_0.30,42,-6.342567743158371,5.2317193372484185,5
load_0.30,43,-4.767961557738939,2.0825069664095546,5
load_0.30,44,-5.549126802509962,3.644837455951599,5
load_0.30,45,-6.323200296697317,5.19298444432631,5
load_0.30,46,-6.5653661652969735,3.761900199830934,5
load_0.30,47,-7.50026670729922,5.164803842608359,5
load_0.30,48,-6.370023419203748,5.286630689339171,5
load_0.30,49,-5.600451410965954,3.7474866728635856,5
load_0.30,50,-7.343545613564419,5.132017023957676,5
load_0.30,51,-9.374202572188988,5.160087975362407,5
load_0.30,52,-5.549126802509962,3.644837455951599,5
load_0.30,53,-5.600451410965954,3.7474866728635856,5
load_0.30,54,-7.319512650863783,5.126020120400684,5
load_0.30,55,-6.625450380572138,3.8666575304154787,5
load_0.30,56,-7.307482497489389,5.1036228286592555,5
load_0.30,57,-5.549126802509962,3.644837455951599,5
load_0.30,58,-5.600451410965954,3.7474866728635856,5
load_0.30,59,-6.370023419203748,5.286630689339171,5
load_0.30,60,-6.782792492604419,3.8993038674090252,5
load_0.30,61,-9.4908014495339,4.223658919052588,5
load_0.30,62,-7.445374425445418,4.555913290266494,5
load_0.30,63,-8.492637137675615,4.855732395367819,5
load_0.30,64,-5.549126802509962,3.644837455951599,5
load_0.30,65,-6.323200296697317,5.19298444432631,5
load_0.30,66,-5.600451410965954,3.7474866728635856,5
load_0.30,67,-6.354597896532765,5.255779643997206,5
load_0.30,68,-5.622955697469619,3.7924952458709136,5
load_0.30,69,-4.767961557738939,2.0825069664095546,5
load_0.30,70,-5.621314818236306,3.7892134874042895,5
load_0.30,71,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,72,-4.884407038675011,2.315397928281698,5
load_0.30,73,-4.909049156172626,2.3646821632769277,5
load_0.30,74,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,75,-4.767961557738939,2.082506966409555,5
load_0.30,76,-4.909049156172626,2.3646821632769277,5
load_0.30,77,-4.767961557738939,2.0825069664095546,5
load_0.30,78,-4.909049156172626,2.3646821632769277,5
load_0.30,79,-5.950810829609553,2.7516349158274584,5
load_0.30,80,-5.622955697469619,3.7924952458709136,5
load_0.30,81,-5.621314818236307,3.7892134874042895,5
load_0.30,82,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,83,-6.119562076718749,2.933193485284822,5
load_0.30,84,-5.622955697469619,3.7924952458709136,5
load_0.30,85,-5.621314818236307,3.7892134874042895,5
load_0.30,86,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,87,-4.69162282886518,1.9298295086620367,5
load_0.30,88,-4.909049156172626,2.3646821632769277,5
load_0.30,89,-4.69162282886518,1.9298295086620365,5
load_0.30,90,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,91,-6.968031350113695,2.682947960782944,5
load_0.30,92,-5.621314818236307,3.78921348740429,5
load_0.30,93,-4.69162282886518,1.9298295086620367,5
load_0.30,94,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,95,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,96,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,97,-4.767961557738939,2.0825069664095546,5
load_0.30,98,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,99,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,100,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,101,-4.715655791565814,1.977895434063305,5
load_0.30,102,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,103,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,104,-4.909049156172626,2.3646821632769277,5
load_0.30,105,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,106,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,107,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,108,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,109,-4.884407038675011,2.315397928281698,5
load_0.30,110,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,111,-4.69162282886518,1.9298295086620367,5
load_0.30,112,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,113,-5.873963910503645,2.6522154809090286,5
load_0.30,114,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,115,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,116,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,117,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,118,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,119,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,120,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,121,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,122,-4.69162282886518,1.9298295086620365,5
load_0.30,123,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,124,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,125,-4.909049156172626,2.3646821632769277,5
load_0.30,126,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,127,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,128,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,129,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,130,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,131,-4.9618631125779,2.4703100760874763,5
load_0.30,132,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,133,-4.9618631125779,2.4703100760874763,5
load_0.30,134,-4.715655791565815,1.9778954340633053,5
load_0.30,135,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,136,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,137,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,138,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,139,-4.9618631125779,2.4703100760874763,5
load_0.30,140,-5.622955697469619,3.7924952458709136,5
load_0.30,141,-4.69162282886518,1.9298295086620367,5
load_0.30,142,-4.884407038675011,2.315397928281698,5
load_0.30,143,-4.884407038675011,2.315397928281698,5
load_0.30,144,-4.9618631125779,2.4703100760874763,5
load_0.30,145,-5.622955697469619,3.7924952458709136,5
load_0.30,146,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,147,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,148,-5.873354755706663,2.6425991786848124,5
load_0.30,149,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,150,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,151,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,152,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,153,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,154,-4.9618631125779,2.4703100760874763,5
load_0.30,155,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,156,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,157,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,158,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,159,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,160,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,161,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,162,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,163,-4.69162282886518,1.9298295086620365,5
load_0.30,164,-4.9090491561726255,2.3646821632769277,5
load_0.30,165,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,166,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,167,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,168,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,169,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,170,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,171,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,172,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,173,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,174,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,175,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,176,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,177,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,178,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,179,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,180,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,181,-4.884407038675011,2.315397928281698,5
load_0.30,182,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,183,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,184,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,185,-4.9618631125779,2.4703100760874763,5
load_0.30,186,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,187,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,188,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,189,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,190,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,191,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,192,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,193,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,194,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,195,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,196,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,197,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,198,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,199,-3.7267080745341614,4.440892098500626e-16,5
load_0.30,200,-3.7267080745341614,4.440892098500626e-16,5
load_0.50,1,-15.87630198563063,4.668662031804794,5
load_0.50,2,-13.140270461238867,2.575695596657534,5
load_0.50,3,-10.991338962055874,3.903187681251943,5
load_0.50,4,-11.229141575574364,2.6224802353520547,5
load_0.50,5,-7.301026325640518,3.779854987511887,5
load_0.50,6,-12.239991043795868,6.013430117130518,5
load_0.50,7,-6.31008725340503,2.284936462123075,5
load_0.50,8,-9.588703575970202,3.2128531581752786,5
load_0.50,9,-10.230481145444106,3.4905542870381105,5
load_0.50,10,-9.504308517664693,4.450167479202746,5
load_0.50,11,-6.353095336948972,2.3385992778397937,5
load_0.50,12,-6.454173160599635,2.4719255936290683,5
load_0.50,13,-9.67381288525895,3.3462582246159642,5
load_0.50,14,-9.451851148829688,4.387732119310387,5
load_0.50,15,-7.793443439800489,4.440184533452345,5
load_0.50,16,-10.265572788739902,3.747720959998589,5
load_0.50,17,-9.486497156859542,3.00249206285949,5
load_0.50,18,-8.513714852278088,3.6195599071275937,5
load_0.50,19,-6.353095336948972,2.3385992778397937,5
load_0.50,20,-9.498147332198037,3.520324094601349,5
load_0.50,21,-10.506122671443169,5.1038919644344825,5
load_0.50,22,-7.565783863586543,2.5655500082907605,5
load_0.50,23,-8.703050954461386,2.141618119133685,5
load_0.50,24,-6.814790971626847,2.9071023876259376,5
load_0.50,25,-6.529297117161953,4.169705345435019,5
load_0.50,26,-7.242908657885323,2.284936462123075,5
load_0.50,27,-5.538703451775346,2.188518014661805,5
load_0.50,28,-8.799361986181673,2.2289178409997668,5
load_0.50,29,-7.750934042544119,4.41859268850937,5
load_0.50,30,-7.404346260735932,2.4346566164665333,5
load_0.50,31,-5.377265848924736,1.8656428089605854,5
load_0.50,32,-6.471524856255639,2.4957439257580782,5
load_0.50,33,-8.4944445686393,3.794247296458232,5
load_0.50,34,-9.436953846645618,3.3417050154461436,5
load_0.50,35,-8.57955387792805,3.931614743726498,5
load_0.50,36,-6.454173160599636,2.471925593629068,5
load_0.50,37,-6.739537703885674,4.59018651888246,5
load_0.50,38,-8.581053550098337,3.9340582604553145,5
load_0.50,39,-6.63296245910625,2.6803762144051477,5
load_0.50,40,-6.63296245910625,2.6803762144051477,5
load_0.50,41,-8.175730062365615,1.8656428089605854,5
load_0.50,42,-6.739537703885674,4.59018651888246,5
load_0.50,43,-4.444444444444445,0.0,5
load_0.50,44,-5.538703451775346,2.188518014661805,5
load_0.50,45,-5.581212849031718,2.2735368091745474,5
load_0.50,46,-8.337167665216224,1.9713082944930314,5
load_0.50,47,-7.648232145618044,4.239494638770197,5
load_0.50,48,-6.772281574370479,2.859503994557172,5
load_0.50,49,-10.697753066871257,3.765164768820503,5
load_0.50,50,-7.285916741429266,2.321380809027651,5
load_0.50,51,-7.416907347791975,3.8457414810289885,5
load_0.50,52,-5.521351756119342,2.153814623349797,5
load_0.50,53,-4.444444444444445,0.0,5
load_0.50,54,-4.444444444444445,0.0,5
load_0.50,55,-8.31981596956022,1.957671811582547,5
load_0.50,56,-5.521351756119342,2.153814623349797,5
load_0.50,57,-11.658153939680385,5.304557088205939,5
load_0.50,58,-4.444444444444445,0.0,5
load_0.50,59,-6.63296245910625,2.6803762144051477,5
load_0.50,60,-5.538703451775346,2.188518014661805,5
load_0.50,61,-7.404346260735932,2.4346566164665333,5
load_0.50,62,-7.247898711542101,3.740021332705875,5
load_0.50,63,-7.4001855613083976,4.009413189871395,5
load_0.50,64,-7.4001855613083976,4.009413189871395,5
load_0.50,65,-6.322648340461074,3.756407792033257,5
load_0.50,66,-4.444444444444445,0.0,5
load_0.50,67,-4.444444444444445,0.0,5
load_0.50,68,-4.444444444444445,0.0,5
load_0.50,69,-6.63296245910625,2.6803762144051477,5
load_0.50,70,-4.444444444444445,0.0,5
load_0.50,71,-4.444444444444445,0.0,5
load_0.50,72,-5.377265848924738,1.8656428089605854,5
load_0.50,73,-7.672359108365967,4.502067428791595,5
load_0.50,74,-5.538703451775346,2.188518014661805,5
load_0.50,75,-6.529297117161953,4.169705345435019,5
load_0.50,76,-5.538703451775346,2.188518014661805,5
load_0.50,77,-8.581053550098337,3.9340582604553145,5
load_0.50,78,-5.538703451775346,2.188518014661805,5
load_0.50,79,-7.44319364485234,4.028615146088439,5
load_0.50,80,-5.377265848924738,1.8656428089605852,5
load_0.50,81,-7.672359108365967,4.502067428791596,5
load_0.50,82,-5.521351756119342,2.153814623349797,5
load_0.50,83,-5.678022567039575,2.467156245190261,5
load_0.50,84,-8.824390376603183,5.374606247318557,5
load_0.50,85,-6.467364156828106,4.045839424767322,5
load_0.50,86,-7.462118521642246,4.120373206613453,5
load_0.50,87,-7.546220855151683,6.203552821414475,5
load_0.50,88,-8.684254719593298,6.122375894921992,5
load_0.50,89,-6.5292971171619545,4.169705345435018,5
load_0.50,90,-7.553747060001847,4.096832604683826,5
load_0.50,91,-10.431742962288073,6.056706441629101,5
load_0.50,92,-8.561692421044459,5.043260432506741,5
load_0.50,93,-6.476839748326948,4.0647906077650084,5
load_0.50,94,-8.561692421044459,5.043260432506741,5
load_0.50,95,-6.476839748326948,4.0647906077650084,5
load_0.50,96,-6.476839748326948,4.0647906077650084,5
load_0.50,97,-7.452669236351184,4.04536190050583,5
load_0.50,98,-6.476839748326948,4.0647906077650084,5
load_0.50,99,-6.476839748326948,4.0647906077650084,5
load_0.50,100,-6.476839748326948,4.0647906077650084,5
load_0.50,101,-6.656675035213216,4.424461181537543,5
load_0.50,102,-6.476839748326948,4.0647906077650084,5
load_0.50,103,-6.476839748326948,4.0647906077650084,5
load_0.50,104,-8.584868769999357,5.072373363785152,5
load_0.50,105,-6.476839748326948,4.0647906077650084,5
load_0.50,106,-6.476839748326948,4.0647906077650084,5
load_0.50,107,-6.476839748326948,4.0647906077650084,5
load_0.50,108,-7.57109875565785,4.1066044428472726,5
load_0.50,109,-6.476839748326948,4.0647906077650084,5
load_0.50,110,-8.49975946071061,4.9667488650843215,5
load_0.50,111,-7.57109875565785,4.1066044428472726,5
load_0.50,112,-8.509235052209451,4.978331450140893,5
load_0.50,113,-8.407501013178582,4.864718423789821,5
load_0.50,114,-6.476839748326948,4.0647906077650084,5
load_0.50,115,-6.476839748326948,4.0647906077650084,5
load_0.50,116,-6.476839748326948,4.0647906077650084,5
load_0.50,117,-6.476839748326948,4.0647906077650084,5
load_0.50,118,-6.476839748326948,4.0647906077650084,5
load_0.50,119,-6.476839748326948,4.0647906077650084,5
load_0.50,120,-6.476839748326948,4.0647906077650084,5
load_0.50,121,-6.476839748326948,4.0647906077650084,5
load_0.50,122,-6.476839748326948,4.0647906077650084,5
load_0.50,123,-9.6223910161449,6.581374214340754,5
load_0.50,124,-7.409661152807241,4.026341030259025,5
load_0.50,125,-7.57109875565785,4.1066044428472726,5
load_0.50,126,-6.476839748326948,4.0647906077650084,5
load_0.50,127,-6.476839748326948,4.0647906077650084,5
load_0.50,128,-6.476839748326948,4.0647906077650084,5
load_0.50,129,-6.476839748326948,4.0647906077650084,5
load_0.50,130,-6.476839748326948,4.0647906077650084,5
load_0.50,131,-8.499759460710608,4.9667488650843215,5
load_0.50,132,-6.476839748326948,4.0647906077650084,5
load_0.50,133,-6.547045503059991,4.205202117231093,5
load_0.50,134,-7.4096611528072405,4.026341030259025,5
load_0.50,135,-6.476839748326948,4.0647906077650084,5
load_0.50,136,-6.476839748326948,4.0647906077650084,5
load_0.50,137,-6.476839748326948,4.0647906077650084,5
load_0.50,138,-6.476839748326948,4.0647906077650084,5
load_0.50,139,-8.355043644343576,4.795687294750019,5
load_0.50,140,-6.476839748326948,4.0647906077650084,5
load_0.50,141,-6.476839748326948,4.0647906077650084,5
load_0.50,142,-8.509235052209451,4.978331450140893,5
load_0.50,143,-8.49975946071061,4.9667488650843215,5
load_0.50,144,-9.588621766938706,4.40878864641308,5
load_0.50,145,-6.476839748326948,4.0647906077650084,5
load_0.50,146,-6.476839748326948,4.0647906077650084,5
load_0.50,147,-6.476839748326948,4.0647906077650084,5
load_0.50,148,-7.409661152807241,4.026341030259025,5
load_0.50,149,-8.771933007768178,5.3163202911584815,5
load_0.50,150,-7.452669236351184,4.04536190050583,5
load_0.50,151,-7.553747060001847,4.096832604683826,5
load_0.50,152,-6.476839748326948,4.0647906077650084,5
load_0.50,153,-6.476839748326948,4.0647906077650084,5
load_0.50,154,-8.355043644343578,4.795687294750019,5
load_0.50,155,-6.476839748326948,4.0647906077650084,5
load_0.50,156,-6.476839748326948,4.0647906077650084,5
load_0.50,157,-6.476839748326948,4.0647906077650084,5
load_0.50,158,-6.476839748326948,4.0647906077650084,5
load_0.50,159,-6.476839748326948,4.0647906077650084,5
load_0.50,160,-6.476839748326948,4.0647906077650084,5
load_0.50,161,-6.476839748326948,4.0647906077650084,5
load_0.50,162,-6.476839748326948,4.0647906077650084,5
load_0.50,163,-6.476839748326948,4.0647906077650084,5
load_0.50,164,-9.578616159034187,6.511414490832562,5
load_0.50,165,-6.476839748326948,4.0647906077650084,5
load_0.50,166,-6.476839748326948,4.0647906077650084,5
load_0.50,167,-6.476839748326948,4.0647906077650084,5
load_0.50,168,-6.476839748326948,4.0647906077650084,5
load_0.50,169,-6.476839748326948,4.0647906077650084,5
load_0.50,170,-6.476839748326948,4.0647906077650084,5
load_0.50,171,-6.476839748326948,4.0647906077650084,5
load_0.50,172,-6.476839748326948,4.0647906077650084,5
load_0.50,173,-6.476839748326948,4.0647906077650084,5
load_0.50,174,-6.476839748326948,4.0647906077650084,5
load_0.50,175,-6.476839748326948,4.0647906077650084,5
load_0.50,176,-6.476839748326948,4.0647906077650084,5
load_0.50,177,-6.476839748326948,4.0647906077650084,5
load_0.50,178,-6.476839748326948,4.0647906077650084,5
load_0.50,179,-6.476839748326948,4.0647906077650084,5
load_0.50,180,-6.476839748326948,4.0647906077650084,5
load_0.50,181,-6.476839748326948,4.0647906077650084,5
load_0.50,182,-8.49975946071061,4.9667488650843215,5
load_0.50,183,-6.476839748326948,4.0647906077650084,5
load_0.50,184,-6.476839748326948,4.0647906077650084,5
load_0.50,185,-8.499759460710608,4.9667488650843215,5
load_0.50,186,-6.476839748326948,4.0647906077650084,5
load_0.50,187,-6.476839748326948,4.0647906077650084,5
load_0.50,188,-6.476839748326948,4.0647906077650084,5
load_0.50,189,-6.476839748326948,4.0647906077650084,5
load_0.50,190,-6.476839748326948,4.0647906077650084,5
load_0.50,191,-6.476839748326948,4.0647906077650084,5
load_0.50,192,-6.476839748326948,4.0647906077650084,5
load_0.50,193,-6.476839748326948,4.0647906077650084,5
load_0.50,194,-6.476839748326948,4.0647906077650084,5
load_0.50,195,-6.476839748326948,4.0647906077650084,5
load_0.50,196,-6.476839748326948,4.0647906077650084,5
load_0.50,197,-6.476839748326948,4.0647906077650084,5
load_0.50,198,-6.476839748326948,4.0647906077650084,5
load_0.50,199,-6.476839748326948,4.0647906077650084,5
load_0.50,200,-6.476839748326948,4.0647906077650084,5
load_0.70,1,-21.539905557990476,11.38064497262983,5
load_0.70,2,-17.499387411322054,4.440768186365391,5
load_0.70,3,-16.17141541548297,2.8361490767229545,5
load_0.70,4,-11.50016162237032,4.076624960664561,5
load_0.70,5,-9.340608934304177,3.768080680328369,5
load_0.70,6,-11.094824031272761,1.9936784722159668,5
load_0.70,7,-11.208240678510403,1.941323943011132,5
