load,episode,mean_reward,std_reward,n_seeds,mean_latency,std_latency,mean_gap,std_gap,n
load_0.30,1.0,-12.935701666324247,2.6256542022910603,5.0,,,,,
load_0.30,2.0,-7.807791462210602,3.699751067817204,5.0,,,,,
load_0.30,3.0,-12.566351336605278,1.4664100230470103,5.0,,,,,
load_0.30,4.0,-12.299343554210823,3.0897817813157302,5.0,,,,,
load_0.30,5.0,-12.224595852485653,1.7823257504698626,5.0,,,,,
load_0.30,6.0,-9.471424912534436,3.531298288984557,5.0,,,,,
load_0.30,7.0,-6.779013782377156,3.915665702041133,5.0,,,,,
load_0.30,8.0,-7.068199512417452,4.374212893946009,5.0,,,,,
load_0.30,9.0,-9.785414471224732,3.401159914064807,5.0,,,,,
load_0.30,10.0,-10.381894373868525,3.75642172622554,5.0,,,,,
load_0.30,11.0,-6.354597896532765,5.255779643997206,5.0,,,,,
load_0.30,12.0,-6.370023419203748,5.286630689339171,5.0,,,,,
load_0.30,13.0,-7.495058154668099,4.6153853245504335,5.0,,,,,
load_0.30,14.0,-9.141784847517762,5.144380461691359,5.0,,,,,
load_0.30,15.0,-8.81146501664388,3.0315046991251418,5.0,,,,,
load_0.30,16.0,-9.24517701706319,4.516216330996025,5.0,,,,,
load_0.30,17.0,-9.914195153583616,3.444712084460017,5.0,,,,,
load_0.30,18.0,-9.319117761877212,4.567751052854223,5.0,,,,,
load_0.30,19.0,-8.228341232964556,5.640823871018485,5.0,,,,,
load_0.30,20.0,-11.004081478738147,5.155655872194251,5.0,,,,,
load_0.30,21.0,-9.153934188165824,5.123959775084462,5.0,,,,,
load_0.30,22.0,-8.99791324120235,6.4559275654655774,5.0,,,,,
load_0.30,23.0,-10.559164683917237,4.382962024426706,5.0,,,,,
load_0.30,24.0,-8.288425448239723,5.693698638315584,5.0,,,,,
load_0.30,25.0,-8.192442147179545,5.621285382332689,5.0,,,,,
load_0.30,26.0,-7.328065986857382,4.416792077472321,5.0,,,,,
load_0.30,27.0,-8.631893711538597,4.213030884365179,5.0,,,,,
load_0.30,28.0,-11.129743554500852,5.089014583420979,5.0,,,,,
load_0.30,29.0,-8.192442147179545,5.621285382332689,5.0,,,,,
load_0.30,30.0,-7.60661964850175,3.546435270713952,5.0,,,,,
load_0.30,31.0,-7.482954354216919,4.603814612412054,5.0,,,,,
